        X             RHO          U          P            E    
   0.1628E+00   0.1000E+01   0.1777E-15   0.1000E+01   0.1500E+01
   0.1633E+00   0.1000E+01   0.3188E-15   0.1000E+01   0.1500E+01
   0.1638E+00   0.1000E+01   0.1293E-15   0.1000E+01   0.1500E+01
   0.1643E+00   0.1000E+01  -0.1346E-15   0.1000E+01   0.1500E+01
   0.1648E+00   0.1000E+01   0.4259E-16   0.1000E+01   0.1500E+01
   0.1653E+00   0.1000E+01   0.5530E-15   0.1000E+01   0.1500E+01
   0.1658E+00   0.1000E+01   0.1891E-15   0.1000E+01   0.1500E+01
   0.1663E+00   0.1000E+01   0.3197E-15   0.1000E+01   0.1500E+01
   0.1668E+00   0.1000E+01   0.1812E-15   0.1000E+01   0.1500E+01
   0.1673E+00   0.1000E+01   0.4880E-16   0.1000E+01   0.1500E+01
   0.1678E+00   0.1000E+01  -0.3223E-17   0.1000E+01   0.1500E+01
   0.1683E+00   0.1000E+01   0.2287E-15   0.1000E+01   0.1500E+01
   0.1688E+00   0.1000E+01  -0.2155E-17   0.1000E+01   0.1500E+01
